customer_id,age,gender,city,customer_segment,preferred_device
1,58,Male,New York,Loyal,Mobile
2,32,Male,New York,New,Tablet
3,45,Male,New York,New,Mobile
4,32,Male,Seattle,Regular,Tablet
5,59,Female,Chicago,VIP,Tablet
6,35,Male,Chicago,VIP,Desktop
7,35,Male,Chicago,Loyal,Mobile
8,23,Female,New York,Loyal,Desktop
9,56,Female,New York,VIP,Tablet
10,25,Female,New York,Loyal,Tablet
11,57,Female,Seattle,Regular,Tablet
12,22,Male,Chicago,Loyal,Mobile
13,32,Male,Houston,Loyal,Desktop
14,58,Female,Chicago,Loyal,Desktop
15,31,Female,New York,Regular,Tablet
16,64,Male,Chicago,VIP,Desktop
17,35,Male,Los Angeles,New,Mobile
18,70,Male,Los Angeles,VIP,Desktop
19,22,Male,Seattle,Loyal,Mobile
20,59,Female,Houston,VIP,Mobile
21,34,Male,Chicago,Loyal,Tablet
22,55,Female,Seattle,VIP,Desktop
23,32,Male,Seattle,VIP,Mobile
24,66,Male,New York,Regular,Tablet
25,28,Female,Seattle,New,Desktop
26,42,Female,Seattle,Loyal,Tablet
27,18,Male,Seattle,Loyal,Tablet
28,39,Male,Los Angeles,VIP,Mobile
29,47,Male,Los Angeles,Regular,Tablet
30,24,Female,Seattle,Regular,Mobile
31,41,Male,Seattle,New,Tablet
32,38,Female,New York,New,Desktop
33,69,Female,Chicago,New,Mobile
34,54,Male,New York,VIP,Mobile
35,66,Male,Chicago,VIP,Tablet
36,28,Female,Seattle,VIP,Mobile
37,52,Male,Los Angeles,VIP,Tablet
38,59,Female,Houston,VIP,Mobile
39,33,Male,New York,Loyal,Mobile
40,55,Male,Seattle,Regular,Mobile
41,22,Male,Chicago,New,Mobile
42,39,Male,Seattle,Regular,Desktop
43,60,Female,Chicago,Regular,Tablet
44,54,Female,Chicago,VIP,Desktop
45,30,Male,New York,VIP,Desktop
46,45,Female,Houston,New,Tablet
47,59,Male,New York,VIP,Tablet
48,39,Male,Chicago,Regular,Mobile
49,52,Female,Chicago,VIP,Mobile
50,35,Female,Chicago,New,Desktop
51,69,Male,New York,New,Mobile
52,66,Male,Chicago,VIP,Desktop
53,48,Male,Houston,New,Mobile
54,42,Male,Houston,Loyal,Desktop
55,36,Female,Seattle,VIP,Mobile
56,30,Female,Chicago,New,Tablet
57,65,Male,Los Angeles,New,Mobile
58,55,Female,Seattle,Regular,Mobile
59,50,Male,Chicago,New,Tablet
60,22,Male,Houston,New,Tablet
61,33,Male,Seattle,New,Desktop
62,60,Female,Los Angeles,Regular,Tablet
63,63,Female,Chicago,Loyal,Desktop
64,26,Female,Houston,Loyal,Mobile
65,18,Female,Seattle,New,Mobile
66,52,Male,Seattle,Loyal,Mobile
67,40,Male,Chicago,Loyal,Desktop
68,28,Female,Seattle,Loyal,Tablet
69,69,Male,Seattle,Loyal,Tablet
70,24,Male,Los Angeles,New,Mobile
71,65,Male,Los Angeles,Loyal,Tablet
72,31,Female,Chicago,Loyal,Tablet
73,49,Female,New York,New,Tablet
74,45,Female,New York,New,Desktop
75,67,Male,Los Angeles,Regular,Tablet
76,46,Female,Seattle,New,Mobile
77,22,Male,Seattle,New,Desktop
78,55,Male,Houston,Regular,Mobile
79,37,Female,New York,Loyal,Mobile
80,61,Male,New York,Loyal,Tablet
81,44,Male,Chicago,Regular,Mobile
82,44,Male,Chicago,Loyal,Desktop
83,69,Male,Los Angeles,Regular,Tablet
84,24,Female,New York,VIP,Mobile
85,30,Female,Los Angeles,Loyal,Mobile
86,32,Male,Chicago,VIP,Desktop
87,35,Male,Los Angeles,Loyal,Tablet
88,50,Female,Seattle,Loyal,Mobile
89,25,Female,Chicago,Loyal,Mobile
90,24,Female,Los Angeles,Loyal,Desktop
91,56,Male,Houston,Regular,Desktop
92,20,Female,New York,Regular,Desktop
93,45,Male,Los Angeles,Loyal,Tablet
94,25,Female,Seattle,Loyal,Tablet
95,44,Female,Houston,Loyal,Tablet
96,26,Male,Houston,VIP,Tablet
97,65,Male,Seattle,Loyal,Desktop
98,53,Male,Los Angeles,Loyal,Mobile
99,45,Female,Houston,VIP,Desktop
100,61,Male,Seattle,VIP,Tablet
101,28,Male,Los Angeles,Loyal,Mobile
102,70,Male,Los Angeles,Regular,Mobile
103,27,Male,New York,Regular,Desktop
104,57,Male,Houston,VIP,Tablet
105,54,Male,Houston,VIP,Desktop
106,33,Male,New York,New,Desktop
107,32,Male,Seattle,VIP,Mobile
108,53,Male,New York,VIP,Mobile
109,69,Female,Seattle,Loyal,Desktop
110,57,Female,Seattle,VIP,Mobile
111,65,Female,Houston,Loyal,Mobile
112,58,Female,Seattle,VIP,Tablet
113,33,Female,Houston,New,Tablet
114,36,Male,Los Angeles,Loyal,Desktop
115,52,Male,Chicago,Regular,Mobile
116,42,Male,Chicago,New,Desktop
117,44,Female,Seattle,VIP,Desktop
118,21,Male,Houston,VIP,Tablet
119,62,Male,Seattle,VIP,Desktop
120,18,Female,Los Angeles,VIP,Desktop
121,52,Male,Houston,Regular,Desktop
122,45,Female,New York,VIP,Desktop
123,60,Female,Chicago,VIP,Mobile
124,57,Male,Houston,New,Mobile
125,59,Female,Chicago,VIP,Mobile
126,21,Female,Houston,Loyal,Mobile
127,47,Female,Los Angeles,VIP,Desktop
128,66,Female,Los Angeles,New,Desktop
129,19,Male,Los Angeles,Regular,Tablet
130,22,Male,New York,Regular,Mobile
131,19,Male,Chicago,Regular,Desktop
132,60,Male,Seattle,Regular,Desktop
133,62,Female,Los Angeles,Regular,Tablet
134,56,Male,Chicago,Loyal,Mobile
135,55,Male,Los Angeles,VIP,Desktop
136,63,Male,New York,Regular,Mobile
137,62,Female,Seattle,New,Tablet
138,68,Male,Los Angeles,VIP,Tablet
139,41,Male,Seattle,Loyal,Mobile
140,44,Female,New York,VIP,Desktop
141,58,Female,Chicago,VIP,Mobile
142,64,Female,Seattle,VIP,Desktop
143,45,Female,Los Angeles,Regular,Mobile
144,35,Female,Chicago,VIP,Tablet
145,57,Female,Los Angeles,New,Desktop
146,38,Male,Houston,Regular,Desktop
147,69,Female,Los Angeles,Loyal,Tablet
148,62,Female,Seattle,New,Tablet
149,30,Male,Chicago,VIP,Desktop
150,53,Male,Houston,VIP,Desktop
151,68,Male,New York,Loyal,Mobile
152,43,Male,Los Angeles,Loyal,Desktop
153,53,Female,Houston,Loyal,Desktop
154,62,Female,Los Angeles,Loyal,Desktop
155,32,Male,Chicago,Loyal,Mobile
156,65,Male,Chicago,Regular,Tablet
157,48,Female,Seattle,Loyal,Mobile
158,30,Female,Chicago,Loyal,Mobile
159,37,Male,Seattle,Regular,Desktop
160,20,Male,Seattle,Loyal,Tablet
161,26,Female,New York,New,Tablet
162,36,Female,Houston,VIP,Desktop
163,29,Male,Los Angeles,VIP,Mobile
164,70,Male,Houston,VIP,Mobile
165,54,Male,Chicago,Regular,Tablet
166,37,Male,Chicago,New,Tablet
167,66,Female,Seattle,Regular,Tablet
168,42,Female,Houston,Loyal,Tablet
169,45,Female,Seattle,New,Tablet
170,65,Male,Chicago,Regular,Desktop
171,60,Male,Chicago,Regular,Mobile
172,53,Male,Chicago,New,Desktop
173,46,Female,Los Angeles,New,Mobile
174,36,Female,Houston,New,Tablet
175,32,Female,Seattle,Regular,Desktop
176,25,Male,Chicago,Loyal,Mobile
177,22,Male,Chicago,Loyal,Tablet
178,65,Female,Houston,New,Desktop
179,62,Female,Houston,Loyal,Tablet
180,52,Female,Houston,New,Tablet
181,20,Female,Los Angeles,Loyal,Mobile
182,23,Male,Seattle,New,Tablet
183,70,Female,Seattle,New,Mobile
184,48,Female,Los Angeles,Regular,Tablet
185,45,Female,New York,VIP,Desktop
186,44,Female,Los Angeles,New,Mobile
187,39,Female,Houston,Loyal,Tablet
188,43,Male,Houston,New,Desktop
189,34,Female,New York,VIP,Tablet
190,70,Male,Seattle,VIP,Desktop
191,21,Male,Seattle,Loyal,Tablet
192,66,Female,Houston,New,Mobile
193,35,Male,Los Angeles,VIP,Tablet
194,49,Male,New York,Regular,Tablet
195,28,Female,Seattle,New,Tablet
196,44,Male,Chicago,New,Desktop
197,25,Male,Houston,Loyal,Tablet
198,63,Female,Houston,VIP,Desktop
199,33,Female,Seattle,Regular,Desktop
200,30,Male,New York,Loyal,Desktop
201,39,Female,New York,Loyal,Tablet
202,37,Female,Chicago,VIP,Tablet
203,48,Female,Los Angeles,VIP,Desktop
204,38,Male,Chicago,VIP,Mobile
205,67,Female,New York,Loyal,Tablet
206,48,Female,Houston,Regular,Desktop
207,20,Male,Seattle,Loyal,Mobile
208,46,Male,Seattle,VIP,Mobile
209,64,Male,Houston,Regular,Mobile
210,48,Female,Los Angeles,VIP,Tablet
211,23,Female,Seattle,VIP,Desktop
212,58,Female,Seattle,New,Tablet
213,22,Male,Los Angeles,Regular,Tablet
214,23,Female,New York,New,Desktop
215,28,Female,New York,New,Desktop
216,68,Male,Los Angeles,Loyal,Desktop
217,45,Male,Chicago,VIP,Tablet
218,61,Male,Chicago,Regular,Mobile
219,57,Female,Seattle,Regular,Desktop
220,55,Male,Chicago,VIP,Tablet
221,34,Female,Los Angeles,New,Desktop
222,36,Male,New York,VIP,Desktop
223,55,Female,Houston,Loyal,Desktop
224,37,Male,Houston,VIP,Mobile
225,33,Female,Seattle,Loyal,Tablet
226,36,Female,New York,VIP,Desktop
227,18,Male,Seattle,VIP,Desktop
228,67,Male,Seattle,Loyal,Mobile
229,58,Male,Seattle,Loyal,Tablet
230,66,Male,New York,New,Desktop
231,68,Female,New York,Loyal,Tablet
232,26,Male,Los Angeles,Loyal,Tablet
233,44,Male,Chicago,Regular,Tablet
234,41,Female,Chicago,Loyal,Desktop
235,69,Female,Los Angeles,New,Desktop
236,22,Male,Chicago,VIP,Tablet
237,41,Male,Houston,New,Desktop
238,52,Male,Houston,Loyal,Tablet
239,65,Female,Seattle,VIP,Tablet
240,41,Male,Chicago,VIP,Mobile
241,57,Female,Seattle,Regular,Tablet
242,22,Female,Los Angeles,VIP,Mobile
243,26,Male,New York,Loyal,Desktop
244,25,Male,Chicago,Regular,Desktop
245,47,Female,Seattle,VIP,Tablet
246,65,Male,Houston,New,Desktop
247,57,Female,Los Angeles,New,Tablet
248,41,Male,Houston,VIP,Mobile
249,41,Male,Los Angeles,Loyal,Mobile
250,43,Female,Chicago,New,Desktop
251,23,Male,Seattle,New,Mobile
252,68,Female,Chicago,Regular,Tablet
253,31,Male,Seattle,Regular,Tablet
254,31,Male,Los Angeles,Regular,Tablet
255,18,Female,Chicago,Regular,Tablet
256,34,Male,New York,New,Mobile
257,18,Female,Chicago,Loyal,Mobile
258,29,Female,New York,Regular,Tablet
259,44,Male,New York,VIP,Desktop
260,67,Female,Seattle,New,Desktop
261,50,Male,Seattle,New,Tablet
262,68,Female,Houston,New,Mobile
263,48,Female,Houston,New,Desktop
264,63,Female,New York,New,Desktop
265,56,Male,New York,Regular,Desktop
266,57,Female,Houston,Loyal,Desktop
267,50,Female,New York,New,Tablet
268,59,Male,Houston,VIP,Mobile
269,44,Female,Houston,VIP,Desktop
270,64,Male,Los Angeles,VIP,Desktop
271,60,Female,Los Angeles,Regular,Tablet
272,48,Male,New York,New,Mobile
273,45,Male,Los Angeles,Regular,Tablet
274,21,Female,New York,VIP,Desktop
275,60,Female,New York,Loyal,Tablet
276,37,Female,New York,Regular,Mobile
277,60,Female,Chicago,New,Desktop
278,53,Female,New York,Loyal,Tablet
279,32,Female,Seattle,New,Tablet
280,60,Female,New York,Regular,Desktop
281,62,Female,Los Angeles,Loyal,Mobile
282,29,Male,Seattle,VIP,Mobile
283,27,Male,New York,Regular,Desktop
284,44,Female,Los Angeles,Regular,Desktop
285,37,Female,Seattle,New,Mobile
286,27,Male,Seattle,New,Tablet
287,23,Female,Houston,VIP,Desktop
288,56,Female,Houston,Loyal,Mobile
289,66,Male,Los Angeles,VIP,Mobile
290,36,Female,Seattle,Loyal,Mobile
291,32,Female,Seattle,New,Mobile
292,31,Female,Chicago,Regular,Desktop
293,36,Female,New York,New,Desktop
294,65,Female,Chicago,Regular,Desktop
295,52,Male,Seattle,Loyal,Mobile
296,43,Male,Houston,New,Desktop
297,22,Female,Seattle,VIP,Tablet
298,43,Female,Los Angeles,New,Desktop
299,19,Female,Chicago,VIP,Tablet
300,41,Male,Houston,New,Mobile
301,45,Female,Seattle,New,Desktop
302,37,Female,Chicago,Loyal,Mobile
303,22,Male,Seattle,Regular,Desktop
304,40,Male,Chicago,New,Mobile
305,34,Male,Chicago,Regular,Tablet
306,22,Male,Houston,VIP,Tablet
307,66,Female,Seattle,Loyal,Tablet
308,38,Male,Houston,New,Desktop
309,46,Female,Los Angeles,New,Desktop
310,50,Male,Los Angeles,VIP,Desktop
311,20,Male,Los Angeles,Loyal,Mobile
312,59,Male,Seattle,VIP,Desktop
313,55,Male,Houston,Regular,Desktop
314,56,Female,Seattle,Regular,Mobile
315,46,Male,Los Angeles,New,Tablet
316,59,Male,New York,Regular,Tablet
317,46,Female,Seattle,Regular,Desktop
318,41,Female,Houston,VIP,Desktop
319,61,Male,Los Angeles,New,Desktop
320,24,Female,Los Angeles,Loyal,Tablet
321,60,Male,Los Angeles,New,Tablet
322,60,Male,Los Angeles,Loyal,Tablet
323,62,Female,Chicago,New,Desktop
324,53,Female,Los Angeles,Regular,Tablet
325,62,Male,Houston,Loyal,Mobile
326,41,Female,Chicago,Regular,Desktop
327,67,Female,Chicago,Regular,Mobile
328,27,Male,Los Angeles,New,Tablet
329,67,Male,Los Angeles,Regular,Tablet
330,42,Male,Chicago,Regular,Tablet
331,67,Male,Houston,New,Desktop
