interaction_id,customer_id,product_id,interaction_date,interaction_type,rating,source
1,147,369,2024-02-09,click,3.0,Recommendation
2,1383,338,2024-09-13,view,2.0,Recommendation
3,1446,142,2025-07-10,purchase,,Category
4,578,355,2025-02-17,wishlist,,Direct
5,1340,525,2024-06-01,purchase,1.0,Recommendation
6,1482,215,2025-04-30,view,5.0,Direct
7,698,88,2024-11-16,purchase,4.0,Direct
8,430,450,2025-04-05,purchase,,Category
9,285,592,2024-05-11,view,,Direct
10,1350,364,2024-12-13,view,4.0,Direct
11,1415,551,2024-11-02,view,,Advertisement
12,66,143,2024-06-06,wishlist,3.0,Advertisement
13,1290,588,2025-02-04,wishlist,1.0,Direct
14,131,548,2025-01-30,view,,Category
15,1167,463,2025-10-16,purchase,,Recommendation
16,214,567,2024-06-30,view,5.0,Search
17,383,204,2024-03-12,purchase,4.0,Category
18,422,239,2024-10-25,click,,Direct
19,118,378,2025-06-14,view,3.0,Direct
20,801,161,2024-04-23,view,4.0,Direct
21,141,399,2024-07-30,view,1.0,Category
22,886,487,2024-06-11,click,2.0,Advertisement
23,416,515,2025-12-02,click,1.0,Search
24,293,457,2024-03-06,purchase,1.0,Advertisement
25,674,583,2025-05-17,click,,Search
26,590,468,2024-12-21,cart,2.0,Direct
27,1256,180,2025-03-01,view,4.0,Direct
28,788,188,2025-12-16,click,4.0,Search
29,491,162,2024-10-07,purchase,2.0,Search
30,1430,223,2025-05-20,view,,Category
31,157,108,2025-05-31,cart,3.0,Direct
32,924,169,2024-09-15,view,,Direct
33,55,75,2025-10-16,click,5.0,Direct
34,704,409,2024-07-18,view,,Category
35,235,140,2024-11-30,click,5.0,Direct
36,945,70,2024-03-25,click,1.0,Direct
37,288,483,2024-10-12,purchase,,Search
38,1244,103,2024-06-30,view,4.0,Recommendation
39,159,12,2025-11-24,view,5.0,Category
40,365,222,2024-02-05,purchase,1.0,Direct
41,1427,49,2025-10-12,cart,,Direct
42,1414,316,2025-03-30,view,,Search
43,773,207,2024-09-12,view,1.0,Recommendation
44,188,17,2025-03-07,view,,Category
45,394,65,2024-08-13,wishlist,,Recommendation
46,1483,172,2024-02-15,view,,Category
47,661,576,2025-10-03,view,1.0,Advertisement
48,810,439,2024-05-03,view,,Category
49,663,178,2024-01-16,view,3.0,Search
50,798,218,2025-04-14,view,2.0,Advertisement
51,756,45,2024-03-09,purchase,4.0,Category
52,1227,512,2024-04-14,cart,,Category
53,195,333,2025-10-08,click,,Category
54,360,326,2025-11-13,click,3.0,Search
55,1247,600,2025-04-04,view,1.0,Advertisement
