product_id,product_name,category,brand,price
1,Product 1,Electronics,Brand 3,794.09
2,Product 2,Sports,Brand 38,63.97
3,Product 3,Electronics,Brand 17,48.07
4,Product 4,Home,Brand 1,755.78
5,Product 5,Electronics,Brand 39,209.37
6,Product 6,Fashion,Brand 12,672.25
7,Product 7,Electronics,Brand 6,149.83
8,Product 8,Books,Brand 18,949.05
9,Product 9,Home,Brand 23,164.75
10,Product 10,Sports,Brand 40,245.61
11,Product 11,Sports,Brand 5,103.61
12,Product 12,Sports,Brand 1,531.19
13,Product 13,Books,Brand 13,964.44
14,Product 14,Fashion,Brand 35,9.31
15,Product 15,Books,Brand 7,924.61
16,Product 16,Sports,Brand 31,369.63
17,Product 17,Sports,Brand 12,442.47
18,Product 18,Electronics,Brand 12,835.57
19,Product 19,Beauty,Brand 28,218.2
20,Product 20,Fashion,Brand 27,117.28
21,Product 21,Home,Brand 8,468.57
22,Product 22,Sports,Brand 9,498.34
23,Product 23,Home,Brand 19,559.35
24,Product 24,Electronics,Brand 6,331.47
25,Product 25,Electronics,Brand 25,287.19
26,Product 26,Sports,Brand 20,688.61
27,Product 27,Beauty,Brand 15,556.15
28,Product 28,Home,Brand 28,192.84
29,Product 29,Electronics,Brand 31,939.39
30,Product 30,Home,Brand 12,17.72
31,Product 31,Books,Brand 32,673.74
32,Product 32,Beauty,Brand 29,525.05
33,Product 33,Books,Brand 6,123.62
34,Product 34,Beauty,Brand 26,696.56
35,Product 35,Electronics,Brand 11,69.39
36,Product 36,Fashion,Brand 22,204.26
37,Product 37,Beauty,Brand 8,236.71
38,Product 38,Beauty,Brand 32,282.13
39,Product 39,Books,Brand 38,595.68
40,Product 40,Books,Brand 26,359.32
41,Product 41,Books,Brand 39,950.39
42,Product 42,Beauty,Brand 33,282.5
43,Product 43,Beauty,Brand 7,126.58
44,Product 44,Beauty,Brand 32,234.67
45,Product 45,Fashion,Brand 2,104.11
46,Product 46,Electronics,Brand 5,500.64
47,Product 47,Electronics,Brand 12,385.72
48,Product 48,Books,Brand 21,156.97
49,Product 49,Sports,Brand 40,100.85
50,Product 50,Electronics,Brand 34,768.73
51,Product 51,Beauty,Brand 13,297.1
52,Product 52,Beauty,Brand 32,507.27
53,Product 53,Sports,Brand 22,810.43
54,Product 54,Sports,Brand 35,22.58
55,Product 55,Electronics,Brand 28,880.73
56,Product 56,Electronics,Brand 25,452.86
57,Product 57,Beauty,Brand 29,462.36
58,Product 58,Electronics,Brand 12,558.88
59,Product 59,Home,Brand 11,494.02
60,Product 60,Fashion,Brand 20,717.14
61,Product 61,Beauty,Brand 8,571.01
62,Product 62,Beauty,Brand 36,686.95
63,Product 63,Sports,Brand 31,478.53
64,Product 64,Fashion,Brand 33,60.46
65,Product 65,Home,Brand 32,593.09
66,Product 66,Beauty,Brand 40,678.11
67,Product 67,Home,Brand 21,66.12
68,Product 68,Sports,Brand 3,132.56
69,Product 69,Home,Brand 23,810.51
70,Product 70,Sports,Brand 2,766.37
71,Product 71,Books,Brand 22,383.67
72,Product 72,Beauty,Brand 23,991.99
73,Product 73,Beauty,Brand 23,61.17
74,Product 74,Fashion,Brand 16,238.45
75,Product 75,Home,Brand 38,89.52
76,Product 76,Books,Brand 5,869.6
77,Product 77,Electronics,Brand 22,173.93
78,Product 78,Sports,Brand 21,42.19
79,Product 79,Books,Brand 28,570.21
80,Product 80,Beauty,Brand 18,25.3
81,Product 81,Beauty,Brand 38,27.13
82,Product 82,Home,Brand 25,572.5
83,Product 83,Home,Brand 37,102.24
84,Product 84,Beauty,Brand 7,692.41
85,Product 85,Fashion,Brand 22,499.25
86,Product 86,Books,Brand 22,170.79
87,Product 87,Home,Brand 24,969.58
88,Product 88,Fashion,Brand 32,637.27
89,Product 89,Electronics,Brand 35,218.01
90,Product 90,Home,Brand 4,300.83
91,Product 91,Sports,Brand 26,805.58
92,Product 92,Sports,Brand 6,719.12
93,Product 93,Sports,Brand 7,593.91
94,Product 94,Home,Brand 5,568.6
95,Product 95,Sports,Brand 31,429.97
96,Product 96,Home,Brand 5,653.28
97,Product 97,Home,Brand 33,805.11
98,Product 98,Beauty,Brand 35,316.79
99,Product 99,Beauty,Brand 26,255.01
100,Product 100,Sports,Brand 30,673.2
101,Product 101,Sports,Brand 12,881.49
102,Product 102,Books,Brand 34,863.4
103,Product 103,Sports,Brand 32,216.89
104,Product 104,Books,Brand 30,271.6
105,Product 105,Books,Brand 35,809.89
106,Product 106,Beauty,Brand 37,727.98
107,Product 107,Electronics,Brand 34,204.64
108,Product 108,Beauty,Brand 10,244.17
109,Product 109,Books,Brand 20,844.9
110,Product 110,Beauty,Brand 21,860.89
111,Product 111,Electronics,Brand 14,846.74
112,Product 112,Home,Brand 19,647.81
113,Product 113,Home,Brand 39,239.95
114,Product 114,Fashion,Brand 8,154.21
115,Product 115,Electronics,Brand 16,798.06
116,Product 116,Home,Brand 30,487.96
117,Product 117,Beauty,Brand 28,648.69
118,Product 118,Electronics,Brand 13,163.56
119,Product 119,Fashion,Brand 2,262.1
120,Product 120,Home,Brand 36,180.11
121,Product 121,Electronics,Brand 32,783.32
122,Product 122,Electronics,Brand 6,317.34
123,Product 123,Home,Brand 5,901.07
124,Product 124,Beauty,Brand 24,673.31
125,Product 125,Electronics,Brand 26,943.45
126,Product 126,Books,Brand 9,239.86
127,Product 127,Sports,Brand 33,933.27
128,Product 128,Sports,Brand 38,949.93
129,Product 129,Sports,Brand 17,498.97
